WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,Codering_3,AantalInwoners_5,Bevolkingsdichtheid_34,GemiddeldeHuishoudensgrootte_33,HuishoudensMetKinderen_32,HuishoudensTotaal_29,MateVanStedelijkheid_122,k_0Tot15Jaar_8,k_15Tot25Jaar_9,k_25Tot45Jaar_10,k_45Tot65Jaar_11,k_65JaarOfOuder_12,GeregistreerdeMisdrijven_1,crime_property,crime_violence,crime_vandalism,cluster_id,cluster_label_short,cluster_label_long,pca_x,pca_y,buurt_naam
BU19591501,Altena                                  ,Buurt     ,BU19591501,330,1232.0,2.6,40,125,5.0,45,30,80,90,80,8.0,2.0,1.0,1.0,0,label_short,label_long,-2.0777061633524303,0.5280182754745859,Babyloniënbroek
BU06060706,Schiedam                                ,Buurt     ,BU06060706,1315,12528.0,1.9,190,685,1.0,175,115,310,300,410,113.0,37.0,8.0,9.0,11,label_short,label_long,0.8106298228834419,-1.6110178799462962,Bachplein
BU03940559,Haarlemmermeer                          ,Buurt     ,BU03940559,1265,3023.0,2.1,225,605,4.0,220,140,415,345,145,72.0,23.0,2.0,11.0,5,label_short,label_long,-0.1555412099574905,0.1043322429718332,Badhoevedorp Antoniushoeve
BU03940554,Haarlemmermeer                          ,Buurt     ,BU03940554,3030,3689.0,2.8,575,1060,3.0,800,265,800,635,530,136.0,50.0,8.0,9.0,1,label_short,label_long,2.524720810718794,2.0195518239179604,Badhoevedorp Bouwlust
BU03940557,Haarlemmermeer                          ,Buurt     ,BU03940557,1475,4451.0,2.5,275,580,2.0,250,210,280,500,235,127.0,43.0,8.0,12.0,3,label_short,label_long,0.5055306811256779,0.042002707055145,Badhoevedorp Centrum
BU03940562,Haarlemmermeer                          ,Buurt     ,BU03940562,525,5111.0,2.3,90,225,2.0,90,60,125,170,75,38.0,13.0,2.0,4.0,11,label_short,label_long,-1.0656549742627732,-0.7180987943853978,Badhoevedorp Dijk
BU03940564,Haarlemmermeer                          ,Buurt     ,BU03940564,450,294.0,2.2,65,210,5.0,60,45,90,155,105,57.0,18.0,3.0,7.0,8,label_short,label_long,-1.6988085759237888,0.0894972434453254,Badhoevedorp Nieuwe Meer
BU03940558,Haarlemmermeer                          ,Buurt     ,BU03940558,1285,5971.0,2.2,205,590,2.0,200,165,290,345,285,61.0,20.0,5.0,5.0,11,label_short,label_long,0.1761350158106656,-0.4059391070716609,Badhoevedorp Noordoost
BU03940552,Haarlemmermeer                          ,Buurt     ,BU03940552,2955,7648.0,2.0,460,1475,1.0,390,300,620,900,755,125.0,35.0,8.0,18.0,3,label_short,label_long,3.0613637277967967,0.0706890593496586,Badhoevedorp Noordwest
BU03940551,Haarlemmermeer                          ,Buurt     ,BU03940551,115,32.0,2.0,15,45,5.0,5,25,30,50,10,95.0,33.0,6.0,8.0,8,label_short,label_long,-2.0659620501457443,-0.514445890459219,Badhoevedorp Omgeving
