WijkenEnBuurten,ID,GeregistreerdeMisdrijven_1
BU02021884,25895,100
BU02021885,25908,187
BU02021886,25921,87
BU02021887,25934,136
BU02021888,25947,93
BU02021989,25973,9
BU02021990,25986,358
BU02021993,25999,212
BU02022092,26025,205
BU02022191,26051,132
BU02022194,26064,146
BU02022197,26077,47
BU02022295,26103,139
BU02022296,26116,176
BU02022316,26142,55
BU02022317,26155,101
BU02022318,26168,136
BU02022319,26181,79
BU02022447,26207,113
BU02022448,26220,122
BU02022449,26233,156
BU02035400,30003,168
BU02035401,30016,249
BU02035402,30029,23
BU02035403,30042,39
BU02035404,30055,41
BU02035405,30068,29
BU02035406,30081,45
BU02035407,30094,20
BU02035408,30107,78
BU02035409,30120,16
BU02035410,30133,39
BU02035411,30146,36
BU02035412,30159,40
BU02035413,30172,13
BU02035414,30185,106
BU02035415,30198,56
BU02035425,30211,37
BU02035426,30224,15
BU02035530,30250,188
BU02035531,30263,57
BU02035532,30276,11
BU02035533,30289,13
BU02035534,30302,9
BU02035535,30315,29
BU02035536,30328,4
BU02035537,30341,21
BU02035538,30354,16
BU02035539,30367,15
BU02035540,30380,10
BU02035541,30393,15
BU02035650,30419,66
BU02035651,30432,22
BU02035652,30445,3
BU02035780,30471,30
BU02035781,30484,23
BU02035875,30510,77
BU02035876,30523,4
BU02035877,30536,0
BU02035960,30562,88
BU02035961,30575,12
BU02036070,30601,17
BU02036071,30614,7
BU02036190,30640,5
BU02036191,30653,16
BU02036265,30679,13
BU02036266,30692,6
BU02036395,30718,6
BU02090100,36880,8
BU02090101,36893,28
BU02090110,36906,1
BU02090111,36919,92
BU02090112,36932,22
BU02090113,36945,3
BU02090114,36958,0
BU02090121,36971,18
BU02090122,36984,2
BU02090123,36997,9
BU02090124,37010,9
BU02090125,37023,2
BU02090126,37036,5
BU02090131,37049,4
BU02090141,37062,32
BU02090142,37075,41
BU02090143,37088,12
BU02090144,37101,29
BU02090145,37114,23
BU02090146,37127,9
BU02090147,37140,3
BU02090151,37153,11
