WijkenEnBuurten,ID,GeregistreerdeMisdrijven_1
BU00806301,418663823,243.0
BU00806302,418664590,14.0
BU00806303,418665357,0.0
BU00806304,418666124,0.0
BU00806305,418666891,8.0
BU00806306,418667658,0.0
BU00806307,418668425,6.0
BU00807001,418669959,179.0
BU00807002,418670726,189.0
BU00807003,418671493,81.0
BU00807004,418672260,170.0
BU00807101,418673794,85.0
BU00807201,418675328,6.0
BU00807202,418676095,4.0
BU00807203,418676862,191.0
BU00807301,418678396,42.0
BU00807302,418679163,22.0
BU00807303,418679930,16.0
BU00807304,418680697,8.0
BU00807305,418681464,22.0
BU00807306,418682231,0.0
BU00807401,418683765,2.0
BU00807402,418684532,8.0
BU00807403,418685299,0.0
BU00807404,418686066,4.0
BU00807405,418686833,0.0
BU00808001,418688367,36.0
BU00808002,418689134,6.0
BU00808003,418689901,29.0
BU00808004,418690668,31.0
BU00808005,418691435,14.0
BU00808006,418692202,0.0
BU00808007,418692969,46.0
BU00808008,418693736,14.0
BU00808101,418695270,4.0
BU00808102,418696037,20.0
BU00808103,418696804,26.0
BU00808104,418697571,2.0
BU00808105,418698338,12.0
BU00808106,418699105,2.0
BU00808107,418699872,4.0
BU00808108,418700639,0.0
BU00808109,418701406,6.0
BU00808110,418702173,0.0
BU00808111,418702940,4.0
BU00808112,418703707,0.0
BU00808113,418704474,4.0
BU00808114,418705241,0.0
BU00808115,418706008,6.0
BU00808116,418706775,4.0
BU00808117,418707542,0.0
BU00808201,418709076,12.0
BU00808202,418709843,2.0
BU00808203,418710610,0.0
BU00808204,418711377,4.0
BU00808205,418712144,2.0
BU00808206,418712911,325.0
BU00808207,418713678,18.0
BU00808208,418714445,48.0
BU00808209,418715212,2.0
BU00850101,420742393,16.0
BU00850102,420743160,2.0
BU00850103,420743927,14.0
BU00850104,420744694,32.0
BU00850105,420745461,2.0
BU00850106,420746228,0.0
BU00850107,420746995,12.0
BU00850108,420747762,2.0
BU00850109,420748529,28.0
BU00850110,420749296,4.0
BU00850111,420750063,68.0
BU00850201,420751597,14.0
BU00850202,420752364,20.0
BU00850203,420753131,22.0
BU00850301,420754665,2.0
BU00850302,420755432,13.0
BU00850401,420756966,2.0
BU00850402,420757733,0.0
BU00850501,420759267,2.0
BU00850502,420760034,8.0
BU00850601,420761568,4.0
BU00850602,420762335,2.0
BU00850603,420763102,33.0
BU00850604,420763869,6.0
BU00850605,420764636,8.0
BU00850606,420765403,6.0
BU00850607,420766170,4.0
BU00850608,420766937,20.0
BU00850701,420768471,2.0
BU00850702,420769238,0.0
BU00850801,420770772,16.0
BU00850802,420771539,20.0
BU00850901,420773073,2.0
BU00850902,420773840,4.0
BU00851001,420775374,22.0
BU00851002,420776141,4.0
BU00851003,420776908,18.0
BU00851101,420778442,28.0
BU00851102,420779209,8.0
BU00851103,420779976,18.0
BU00851104,420780743,18.0
BU00851105,420781510,42.0
BU00851106,420782277,13.0
BU00851107,420783044,28.0
BU00851108,420783811,20.0
BU00851109,420784578,6.0
BU00851110,420785345,40.0
BU00851111,420786112,8.0
BU00851112,420786879,40.0
BU00851113,420787646,30.0
BU00851114,420788413,10.0
BU00851115,420789180,4.0
BU00851116,420789947,16.0
BU00851117,420790714,46.0
BU00851118,420791481,34.0
BU00851201,420793015,12.0
BU00851202,420793782,6.0
BU00851301,420795316,4.0
BU00851302,420796083,14.0
BU00860101,420842870,4.0
BU00860102,420843637,8.0
BU00860103,420844404,22.0
